iter	Passed	Remaining
848	8532	1517
849	8541	1507
850	8551	1497
851	8560	1487
852	8570	1477
853	8580	1466
854	8590	1456
855	8599	1446
856	8609	1436
857	8620	1426
858	8631	1416
859	8641	1406
860	8650	1396
861	8661	1386
862	8670	1376
863	8680	1366
864	8689	1356
865	8698	1346
866	8709	1336
867	8718	1325
868	8728	1315
869	8737	1305
870	8747	1295
871	8756	1285
872	8766	1275
873	8775	1265
874	8784	1254
875	8794	1244
876	8803	1234
877	8813	1224
878	8822	1214
879	8831	1204
880	8841	1194
881	8850	1184
882	8859	1173
883	8869	1163
884	8878	1153
885	8888	1143
886	8897	1133
887	8907	1123
888	8916	1113
889	8926	1103
890	8935	1093
891	8945	1083
892	8954	1072
893	8965	1062
894	8975	1053
895	8985	1043
896	8996	1033
897	9007	1023
898	9018	1013
899	9027	1003
900	9036	992
901	9046	982
902	9055	972
903	9064	962
904	9073	952
905	9081	942
906	9090	932
907	9100	922
908	9108	911
909	9118	901
910	9127	891
911	9136	881
912	9145	871
913	9155	861
914	9165	851
915	9174	841
916	9183	831
917	9192	821
918	9202	811
919	9211	800
920	9220	790
921	9229	780
922	9239	770
923	9249	760
924	9258	750
925	9267	740
926	9277	730
927	9286	720
928	9296	710
929	9306	700
930	9315	690
931	9325	680
932	9334	670
933	9344	660
934	9354	650
935	9363	640
936	9373	630
937	9383	620
938	9392	610
939	9401	600
940	9411	590
941	9420	580
942	9430	570
943	9439	559
944	9448	549
945	9458	539
946	9467	529
947	9476	519
948	9485	509
949	9495	499
950	9504	489
951	9513	479
952	9523	469
953	9532	459
954	9541	449
955	9550	439
956	9560	429
957	9569	419
958	9579	409
959	9588	399
960	9597	389
961	9607	379
962	9616	369
963	9626	359
964	9636	349
965	9646	339
966	9655	329
967	9665	319
968	9675	309
969	9685	299
970	9695	289
971	9705	279
972	9715	269
973	9724	259
974	9734	249
975	9744	239
976	9755	229
977	9765	219
978	9777	209
979	9788	199
980	9802	189
981	9813	179
982	9827	169
983	9839	159
984	9851	150
985	9862	140
986	9874	130
987	9886	120
988	9896	110
989	9907	100
990	9917	90
991	9927	80
992	9938	70
993	9947	60
994	9958	50
995	9969	40
996	9980	30
997	9992	20
998	10003	10
999	10015	0
